# ITALIANO	OROMO	OROMO-Ethiopic	AMARICO	AMARICO-Ethiopic	TIGRINO	TIGRINO-Ethiopic	FRANCESE	ARABO A.O - Egitto - Asia - Libia - Africa sett.
abbaiare	óuttu 		tciohà	ጮኸ	neqqewè	ነቂሁ	aboyer	nabach - mabach
puzzo	ajaa		ghemàt	ገማት	ccenà		puanterur	natâne, zâhhem
qua	as 		bezìh	በዚህ	abzì		ici	hêna, henê
quale?	malicàm?		meun?		ayà?		lequel?	man? ai? Anî?  - ama?, ême?
quando	iero		si, meciè	መቼ	meeas, meeàz		quand, lorsque	lâmma, kif, wên, lämêne
quando?	yom?		macce	መቼ	meazèn		quand?	mâta?, êmta?, âmtä?, êmtä?
quante ore?	mekà amma		sent seat?	ስንት ሰዓት	chendey seat?		combien de temps?	cam min sa-ât?
quanto	mekà  		sent	ስንት	chendèi		combien  	cam, kam
quanto costa?	gattì meka?		sent wagàu?	ስንት ዋጋው	chen wagàu?		id. coûte?	dâ tâmanhu kam?
quaranta	afurtam		arba	አርባ	arbaha		quarante	ârbaîn, arbhên
quarto	arfàfa		arategnaù	አራተኛ	kurmàm		quart	robê, rubh - rubah, robah
quarto d'ora	arfàfa amma		arategnaù seàt	እሩብ ጉዳይ	kurmàm seàt		un quart d'heure	robh sahâh, robah sâha
quasi	ammamò		teqqit-qqerrè	ጥቂት ቀረ	dargà, astàt		presque	takriban, nahu, ges
quattordici	afùr kudàn		asra arat	አስራ አራት	asertè arbaat		quatorze	arbaâtâasciar, arbaht-as
quattro	afur 		arat	አራት	arbaàt		quatre 	arbaâ, arbaht - arbha
quello	sùni		hazià	እነኛ	nessu		ce oppure cet	zâlek, dâk - hadâk, hadâka
questo	kùni		ih	ይህ	ezi, ezu		ce oppure cet	hâza, dâ, dê - hêda, hadêjä
qui	as		bezìh	በዚህ	abzì		ici	bêna, henê, henêjä
quindi	duba		demmò	ደግሞ	deghymò		pour cela	tsômma, men baâd, baqâ, zahma
puindici	scian kudàn		asrammèst	አስራአምስት	haserte - hamuscetè		quinze	khamest âsciar, kamst-as
rabbia	dakama		quttà, bereccet	ቁጣ፣	qquttà		rage	gâdba, gionun
raccolta	asmàra		dulèt	ዱለት	akkedà		récolte	egtemaâ, igtimâh
radice	eddà		ser	ስር	sǔr		racine	sciarsc, als, gidr
ragazza	intala, mucciajò		igiagherèd	ልጅ	guàl		jeune fille	bent bint, bnejiä
ragazzo	firàa, gurba		ghenalig	ልጅ፣ ወጣት ልጅ	weddy, qqueleà		jeune garçon	ualad, sabî, ulêd
raggiungera	caccabu		derresè	ደረሰ	archebè		joindre	bâlagh, âdrak, hassal
ragno	cherarit		scererit	ሸረሪት	sarièt		araignée	âancabut - hankebût
rancio	diràma		mesà	ብልሹ	mesàh ascàri		gamelle	yamat, mêkelä
rasare	hadù		laccè	ላጪ	latseyè		raser	hâlak, hhassän
rasato	karè		lacc 	ላጨ	latsày		rasé	mhhassen
razzia	aàmu		zemaccià	ዘመቻ	zemeccià		razzia	hârä
re	mòti, goità		negùs  	ንጉስ	negus		roi	malek, mlêk
recinto	gurànda, eggiàra		atter	አጥር	zeriba		enceinte	hose, zarbîye
recipiente	wecciè		eqqà	እቃ	aqhehè		pot	muaâ, mahhbes
regalo	arka-fuciùf		bereket	በረከት	id-menesy		cadeau	hadia, bakhscisc, hedîjä
regina	worà mòti		etieghiè	ንግስት	neghestì		reine	mâleca
regione	bia		aghèr	አገር	aghèr		région	catr, gehha, nâhia, boqaâ
restare	àfu, aàfu		qqerrè	እንደነበረ መቅረት	terefè		rester	fadal, baqâ, bgä
rete	fugnò, kalàbsu		merbeb	መረብ	merbed		filet	sciâbaca, sabaka, sebkä
ricco	abbà-horì		hatbam	ሃብታም	hebtàm		riche	gâni - hnî
ridere	kòlfu		saqqè	ሳቀ	sehaqhè		rire	dihhiq, dahaq
riempire	gùttu		mollà	ሞላ	meleè		remplir	malâ, mlä
riferire	odèsu, asàu		asteweqè	አስታወቀ	negherè		rapporter	akhbar, fahas - kabbar
rifiutarsi	diddu		embì-alè	እምቢ-አለ	keleyè		se refuser	rafad, nabaz
rigagnolo	laga, galàna		fefà	ፈፋ	seneccerò		ruisseau, rigole	chenat, bôl
rimedio	corìccia		medhànit	መድሃኒት	medenìt		remède	daua, tabdir, moâlagia
rinforzo	babsa		erdatà, ghedèd	እርዳታ፣ እገዛ	meberty		renfort	tacuîa, tascdîd, imdâd
rinoceronte	warsèsa		auraris	አውራሪስ	awauraris		rhinocéros	cherchedân, khartit
rintracciare	àrgu		felleghè	ፈለገ	rekhebè		découvrir	nâccab, laqâ - lgä
riposo	baiana		ereft, erfit	እረፍት	ereftì		repos	rahha, râha
ripostiglio	kolkà		aderà	አደራ	heudry		cachette, recoin	mokhbaia, mihhba - hzênä
riso	riz		ruz	ሩዝ	ruz		riz	roz, ruzz, rizz
risplendente	kan cialìnku		berrann	ብርሃን	berhàn		brillant	satê, hâher, hazîm
rispondere	dubbì debìsu		mellesè	መለሰ መስጠት	mellesè		répondre	jawab, agiab, rad, zawub
ritardare	fùru		quayè	አዝጋሚ	dengueyè		retarder	akhkhar, bta
ritardo	furi		mecuaiet	ዘገምተኛ	mezengae		retard 	taakhir, tahhir
riva	làgu		darcià	ዳርቻ	ghefen		rive	sahel, satt
rivoltella	sceggùt		sceggut	ሽጉጥ	sceggùtt		revolver	refolfar, tabanga, farad
robusto	giabà		gulmassà	ጎልማሳ	deldùl		robuste	modallaâ, caui
roccia	dagà		uascià	እለት	emny		rocher	sakhr, gialmad - sukhra
rogo	belbelà		qettelò	አስከሬን ማቃጠያ	ahreriè		bûcher	harîga, harîq
rompere	ciabù		sebberè	ሰበረ	seberè		rompre	cassar - kassar
rondinella	simbirà		nebè-bellà	መዋጥ	lekhuakhuto		hirondelle	senûnû - khuttêfä
rosso	dìma		qqei, damà	ቀይ 	qqeyyeh		rouge	âhmar, ahhmar
rovina	ballèssu		ttefat	ጥፋት	mebelafciàwe		ruine	kharab
rubare	hattu		qqemmà, serreqqè	ቀማ፣ ሰረቀ	sereqhè		voler	saraq, khneb
rubero	ballèssu		tefàt ellàchi	ጥፋት፣ ሌብነት	demenèt		ruine	kharabe
ruggine	udan sibilla		zeghèt	ዝገት	merrèt		rouille	sadâ
ruggire	àdu, gugumu		aghessà, aguerrà	አገሳ፣ አጓራ	neqqewè		rugir	kender
ruminare	gnàcciu		amesekuà	ማበሰልሰል	amequeseyè		ruminer	agtârr
rupe	elalà, kattù		alèt, ghellèb	አለት፣ 	tsedfì		rocher	hhall, sakhr, manqâl
ruscello	galàna		fefà	ፈፋ	sentcerò		ruisseau 	chenat, massil, giadual
russare	kurrùfu		equerrefè	አንኮራፋ	quernefè		ronfler	gât, nâkhar
ruzzolare	gangalciu, bun		kuolel - allè	ኮለል - አለ	ankebaleyè		dégringoler	dâhrag - dhas
sabato	sàmbata tinnà		chedamè	ቅዳሜ	qqedàm		samedi	sabt, essabt - jôm es-sebt
sabbia	bijè, ciraccia		afer	አፈር	hosta		sable	raml - gàzzä
saccheggiare	bogiù		berebberè	በረበረ	zemetè		saccager	nahab, salab - hâr
sacco	binnò		chis	ቦርሳ	cascià, chisc		sac 	chis, zikibe - skêra
sacerdote	kèsi		qqies, cahen	ቄስ፣ ካህን	qqescì, cahen		prêtre	câhen, qassis
saggio	gamnà		belih	ብልህ	ttebebeinà		sage	âchel, hachîm
salassare	digù		bettà	በጣ	kellehiè		saigner	fasad
sale	saghidda		ecewù, ascebò	ጨው	ccewù, hescmèt		sel	melh, malhh - milhh
sale moneta	amulè		ccewù ghenzèb	ጨው ገንዘብ	ccewù ganzàb		sel monnaie	melh âamla
salire	coru, ol-bàu		wettà	ወጣ	tegherè		monter	taleâ, tilih - rghê
salita	tebbà		achebèt	አቀበት	achèb		montée	matlaâ - argûb, hagaba
saluto	nagàa, salam		selamtà	ሰላምታ	selamtà		salutation, salut	salâm, slêm, selâm
sangue	dîga		dem	ደም	däm		sang	dâm, dem, damm
santo	dedus		cheddus	ቅዱስ	qqeddùs		saint	uali, cadîs, mâri, uelî
sapere	bekù		aweqqè	አወቀ	felettè		savoir	âalam, âaraf, dâra   
sapere (far)	si nan erga		awaqy	አዋቂ	negherè		faire savoir	harraf-o bi, khabbar
sapone	sabòna, andodiè		samona	ሳሙና	sabuna		savon	sabûn, hasûl
sarchiare	aramu		guelegguelè	ጎለጎለ	quesquesè		sarcler	hfar
sarto	sefi		sefi	ሰፊ	sefày		tailleur	khaiât, kayyât - têrzi
sasso	dagà		dengài	ድንጋይ	emni		caillou	hâgiar
sbadigliare	hamomaciù		azzaggà	አዛጋ	ambaeqhuè		bâiller	tanâuab, ittauib - ttouwub
scala	fanto		deregià	ደረጃ	mesalel		escalier	sellim, salâlim - drûz
scaricare	kiku, fèisa-basu		arraghefè	አራገፈ	arraghefè		décharger	atlak, hazaq
scarpe	koppè, fana		ciammaoc	ጫማ	cciammà		souliers	markub, gizam - sbêt
scavare	confàru		qquefferè	ቆፈረ	queatè		creuser	hhfar
schiacciare	ciumfu		ccefelleqqè	ጨፈለቀ	ccefleqhè		écraser	hâssar, fâdakh, facasc
schiava	garbitti		barià	ባሪያ	baryà	ባሪያ	esclave	khadem, gâria
schiavo	garba		bària	ባሪያ	barià	ባህሪ	esclave	hadb, mamluc, regh
schiena	dùgda		gerbà	ጀርባ	zebàn		échine, dos	dahr, dahar
sciabola	goddò		gueradi	ጎራዴ	gueradè, fanzì		sabre	sef, harba
sciacallo	kabarò		qqeberò	ቀበሮ	wekharià		chacal	dib
scialle	wajà		gual-ghebrài	ሻል	gual-ghebrài		châle	hhirâm, mâzham
scimmia	gildesa		zengerò	ዝንጀሮ	ebèi,mebèl		singe	cherd, qird, gerd
scodella	gabatè, wocitti		weccet	ወጨት	sciahan		écuelle, bol	sultania zibdîye, gasha
scrivere	katàbu		tsafè	ጻፈ	tsehafè		écrire	katab, kteb
scudo, arma	gacciana		gascia	ጋሻ	waltà		bouclier	darâqa, daraga
scudo, moneta	ber 		ber	በር	qerscy		cinq frs, cent sous	rial, riyâl
secco	girìna		derek	ደረቅ	neqhuts		sec	iabes, nascêf, jäbis
sedia	barciùmma		wenbèr	ወንበር	menbèr		siège, chaise	cursi, curg, krêsi
sedici	gia kudàn		seddest asser	ስድስት አስር	sceddestè asser		seize	sett âsciar, sutt-as
segnale	mallotà		melechet	ምልክት	melchèt	ምልክቲ	signal	esciâra, âalama - amâra
sei	già		seddest  	ስድስት	sceddestè	ስድስቲ	six	setta, sitta, set, settä
sella	cora		coricià	ኮርቻ	seddestè		selle	sarg, sêrz - sarz, srûz
seme	segni, faciàsa		zer	ዘር	zerì		semence	zarâ, bezâr, zarh
seminare	dàbu, faciasu		zerrà	ዘራ	zerè		semer	ramâ, bezar, rama zarâ
sempre	baritùma, gafà		etrò, serch	ዘወትር	wetrù, wertegh		toujours	daiman, tamêlli, dîme
sentiero	dandì		sellac-mendègh	ስላች መንገድ	gual-megheddì		sentier	atar, alâma, zurra
sentire	afunfaciù		sèmma	ሰማ	semè		sentir	hâss, simih
separare	garagarbàsu		leyè, asqqerré	ለየ፣ አስቀረ	feleyè	ፈልዬ	séparer	farrak, fassal, garr
seppellire	awalu		qqebberè	ቀብር	qqeberè	ቀበር	enterrer, inhumer	cabar, dafan, dfen
sera	diana		matà	ማታ	mescià	ምሽት	soir	massa, marh-reb - hesîjä
sergente	bulukbàsci		bascià	ባሻ፣ ሰርጀንት	bascià	ባሻ	sergent	scia uisc, sâwis
serpente	bofa		ehàb	እባብ	temén		serpent	hâiat, hânasc, khnes
serva	antalò, garbìtti		gherèd	ገረድ	gherèd		servante	khaddâma, khdîmä
servire	hoggiaciù		eghelegghelè	አገለገለ	aghelghelè		servir	khdem, khadam
servo	garba		loliè	ሎሌ	ghezù		domestique	khaddâm, khaddem
sete	debù		temàt	ተጠማ	tsemeàt		soif	âtasc, hatas, hats
sette	torba		sabat	ሰባት	sciobattè		sept	sabaâ, sabha
settembre	berrà		mascherem	መስከረም	mescherèm		september	aylul, settember
settimana	torbàn		sammènt	ሳምንት	semùn		semaine	gamha, asbuaâ - zymha
sfida	fallama		mewagat	መሰናክል	weghit		défi	ahana, sabba, agâza,efterâ
sgabello	barciùmma		diccuà, tewarèd	ዱካ	dekkuà, menber		tabouret	kursì khasciab, krêsi
sguainare	lukisu		mezzezè	መሳል	mezezè, melhè		dégainer	krass gêb, talla zarf
si	ejè		escì	እሺ	escì, ewè		oui	aywâ, eiua, naâm, naham, ê, êi
si, bene	garù, malè		escì melcàm	እሺ፣ መልካም	escì tsebbùqh		oui, bien	naâm, taib - naham bêhi
sicurezza	naguma		tsattetà	ከለላ	reghtsennèt		sûreté	amâna, tamân, amän
siepe	aisàra		zaribà	ዛቢያ	scemett		haie	zerîba
siero	damà, arèra		arierà, badò	መድሃኒት	maitsebà		petit-lait	labankhadd, rêiba
signora	ghennè		embièt, weyzerò	እመቤት፣ ወይዘሮ	embièt, weyezerò		madame	set, siti, lellä, ellä
signore	goftà		ghietà	ጌታ	gueyta, aitò		monsieur	sîd, maula, rab, saied
signorina	dargaghetti		lisgiaghered	ልጃገረድ	ligegherèd	ልጃገረድ	mademoiselle	sitêta karyma
silenzio	cialgè		zemetà	ዝምታ	seqhtà, seq-belè	ሱቅበል	silence	socut, esss
sinistra	bità		ghèra	ግራ፣ ግራኝ	tsegàm		gauche	iasâr,scemal, lêserä
smilzo	hrap		sess	ስስ	reqiq		maigre	rafiê, ruffayyah
soffitta	darèrsuma kallà		ttarà	ጣራ	ttarà	ጣራ	mansarde	sacf, sgaf
sognare	abgiù		allemè	አለመ	halemè		rêver	ragged uahj-äh
sogno	àbgiù		elm	እልም	helmy		rêve	holm, mnêmä
soldato	wottaddè		uottader	ወታደር	asckèr		soldat	âascari, giondii, nafr
sole	biftù		tsehaìm ttai	ፀኃይ	tsehai		soleil	sciams, sams, sems
soltanto	êni		beuccià	ብቻ	terài, beìnù		seulement	bass, garsi, gersi, hêr
sonnecchiare	mugu		angolaccè	አንጎላጀ	teghebsesè		sommeiller	nâm khafîf
sonno	arribò		eqqelì, megneta	መተኛት	deqqas, sekhàb		sommeil 	mom, naâs - mnêm
sopportabile	dippaciù		cialàt	ቻለ	tetsemenàt		tolérable	mumkin, mômchen
sopprimere	fudù		atteffà	አጠፋ	afresè		supprimer	dammar, kharrab
sopra	gubbà		lay, be… lài,	ላይ በ ላይ	leely		dessus	fok, hâla - âaleiha
sopracciglio	gnara		qendev	ቅንድብ	qèndev		sourcil	hhâghib - hhâzeb
sorcio	antuta		ait	አይጥ	ancciuà		rat	fâr, fâra ffêr
sorella	oboleti		et	እህት	hawuttì		soeur	okht, ukht, ukheijä
sorgente	burkà		mencc	ምንጭ	ainimài		source	âin, hauwänä
sospetto	dugà fakaciùf		tterettèr	ጠረጠረ	ttertterà		suspect	sciobha, reb
sotto	gadi		tacc	ታች	tahty		sous	taht, asfal, tâhht, lôta
sottotenente	bumbasci		ufficial	ሉቴናንት	himbasci		sous-lieutenant	melâzim tâni - mlêzimouwul
spada	billò, sefì		seif	ሰይፍ	seìfì		épée	sef, hendü, hosâm, kles
spalla	eekù		tciànka	ትከሻ	mencùb		épaule	keft, chitif, kift, kitef
sparare	rukutu		tequesè	ተኮሰ	tekkuesè		tirer	darab, âtlak
spedizione	dùla		zemetcià	ዘመቻ	zemeccè		expédition	hhamle
speranza	abdì		tesfà	ተስፋ	tesfà	ተስፋ	espérance	ragîa, entezar, amal
spesso, grosso	iabù		wefràm	ወፍራም	ghezif	ግዙፍ	épais	tikhîn, dakham, takhir, kbîr
spesso, sovente	gàfa dànu		bezù ghiziè	ብዙ ጊዜ	haffis		souvent	kitir, galeban - jêser
spezzare	ciàbu		sebberè	ሰበረ	seberè		casser	cattaâ, cassar, kasar, gattêh
spia	kan kippàu		sellài, gubegnà	ሰላይ፣ ጉቦኛ	hasciùl, sellayì		espion	gâsus, khâin, mukbira
spiga	matà kamadì		escèt	ጆሮ	werèm		épi 	sônbala
spilla	sciòk		rasàm merfiè	ራሳም መርፌ	raesan-merf		épingle	dabbûs - tôbli
spinaci	ham 		hamly	ስፒናች	hamly		épinards	khodra, sabanikh - sbanâk
spine	coràti		akerkari	አከርካሪ	kenfì-asà		épines	sciôcat - sôk
splendente	bahàru		aggig melkàm	እጅግ መልካም	tengherty		brillant	satê, hâher, hazîm
splendore	cialinka		ghiett, eddogna	ብርሃን	breàn		splendeur	beha, sciasciâ, dou
sponda	darì, titè		dembèr  	ድንበር	dendès		bord	sahel, satt
sporco	turì		laqlàq	ለቅልቅ	resàh, ghehzùi		sale	uaskhan, wisikh, enzîs
staffe	fana		ercàb	እርካብ	rekhàb		étriers	rocûba, rkäbêt
stagione brutta	gannà		cheremt	ወቅት	cherem		saisonmauvaise	fasl radîûje
stagno, palude	burukà		qqorqqorrò	ቆርቆሮ	mehazmài		étang	âgiam, bohira, bdîr
stalla	garanò		feres-biet	ፈረስ-ቤት	feres-bet		étable	istabl
stanco	lalàfi, deddàba		yedekhemè	የደከመ	dekhùm		las, fatigué	dahif, hajiên
stanza	golà		elfign	እልፍኝ	bièt		chambre	ôda, dâr
starnutare	attiffaciù		anettesè	አነጠሰ	enttesciò - belè		éternuer	hitis
stella	urgì, kokobi		kokeb	ኮከብ	khokhòb		étoile	cocab, nagma, nîgma, nezmä
sterco	bobà, udan		khar	ቃር	khery		bran, crottin	zebl, khara, gilla, miska, khrâ
stomaco	garà		ccegauarrà	ጨጓራ	khar		estomac	mâeda, mihda, hêddä
stracciare	bakàksu		qqeddedè	ቀደደ	qqededè		déchirer	nattasc, sarat, seltel
strada	karà		menghèd	መንገድ	mengheddì		route	darb, tarik, secca, sikka - tryg
strangolare	hàdu		anneqqè	አነቀ	haneqqè		étrangler	khanak - khneg
straniero	alagà		enghedà	እንግዳ	guanà		étranger	garib, agnabi, harîb
stregone	budà		qqallec	ጠንቋይ	ttenqqualì		sorcier	dayyaq, sahhâr, roqâ
struzzo	dògon, guccì		gucì	ሰጎን	seghèn		autruche	nahâma
stuoia	dadù		daweggià	ምንጣፍ	daweggià		natte	siggada - khsyra
sua	isiti		iersuà	የሷ	yersù		sa	lahu, laha, äh, ah (suff.)
sùbito	ammà		yaneghiziè	ወዲያውኑ	tolò		aussitôt	hâlan, qawam - fîssah
sud	devur		debùb	ደቡብ	azièb		sud	schêli, ganub, geblä
sudore	dafca		lab, wez	ላብ፣ ወዝ	reats		sueur	haraq, ârac
suo	isati		iersù	የሱ	yessù		son	lahu, laha, äh, ah (suff.)
suocera	amati		amàt	አማት	hamat		belle-mère	hhama - um-mar-äh
suocero	sodda		amàc	አማች	hamù		beau-père	hhamu - bu-mart-äh
svegliare	coppau		tteqeseqesè	ተቀሰቀሰ	keteneqenè		réveiller	sahha, nauwud
svenimento	gagabsìsu		decàm	ድካም	ewultà		évanouissement	gascian, igmâ, irhama
svogliato	hakku		leghem 	ደካማ	hakkày		négligent	battal, caslan
tabacchiera	tambò càu		eqquà	እቃ	curcurìt, heguèt		tabatière	ilbet nisuq, muaâ tonbâk
tabacco	tambò 		tombakò	ትንባሆ	tembakhò		tabac	tonbak, duhhân
taciturno	zemmèt		zemmetegnà	ዝምተኛ	suqteina		silencieux	sâchet, samût
taglia, tassa	bùsi		qerèt	መጠን፣ ልክ	ghebrì		taille, rançon	rasm, mîry
tagliare	cùttu, muraciù		chelecchelè	መቁረጥ	mendebè		couper	cataâ, qatah - gass
taglio	mursìsù		qedadà	ቀዳዳ	bettàh		coupe 	tafrid, qath, garhh
talismano	hirzì, talsman		talsem	አስደሳች	talsem		talisman	talsman, haraz - hhirz
tallero	kersci		ber	ወሬ፣ ንግግር	qquedscì		thaler	riâl, riyâl
tamarindo	roka		mete tafac	ቀይ እንጨት	aradeb		tamarin	tamrehindi
tamburo	biderù, dibbè		cheberò, negarit	ከበሮ፣ ነጋሪት	qqandà, debài		tambour	tabla, bendâr
tanto	àmas, dilà		sent	በርካታ	kent		tant	qadd, gidd, gedd
tardi	warè, fùru		ghiziè-alfowal	ጊዜ-አልፏል	ghiziè-alifù		tard	taakîr, wahrî, mokhri
tartaruga	cocià		yelì	ኤሊ	gobiè		tortue	zikhlife, fakrôna
tascapane	korgiò buddèna		chinsengerà	ቦርሳ	kerettit		panetière	gêbakhobz
tassa bestiame	bùsi horì		qqerèt chebt	ቀረጥ	ghebrì chebtì		taxe bétail	rasm mauâsci
tavola	balbelà		sedecà	ጠረጴዛ	lùh		table	sofra, tarabêza, tâhula
tavola pranzo	gabbatà		tterpiezà	ጠረጴዛ	tterepezzà		table à mange	sofa gâda, tâhula hasê
tazza	gheba, fingiàl		senì, fingiàl	ስኒ፣ ፍንጃል	fëngiàl		coupe, tasse	cabbâia, fingan, tasa
tela	baftà, hucciù		til	ትል፣ ልብስ	alebà, ferghì		toile	kham, til - gmäs
temere	sodà, sodaciù		seggà, ferrà	ሰጋ፣ ፈራ	ferhè, ghebhè		craindre	khaf, hhaf, khêf
temperino	hadù, sintì		sentty	ሰንጢ	senttì		canif	mâtua, mussa
tempia	gurrundò		aineseb	ቤተ እግዚአብሄር	metaleh		tempe	sadrh, sadq
tempo	bàra		ghiziè	ጊዜ	ghiziè		temps	zaman, uakt - zemên, uaget
temporale	bubbè giabà		mabàl	ማእበል	mebàl		temporel, orage	mâtar sciadid, zobaha
tenda	dukkanìti		denquàn	ድንኳን	denquàn		tente	khema, bêt, hhzeb
tenente	bisbasci		ufficial	ሉቴናንት	bimbasci		lieutenant	melâzim awwil - tninti
terra	biò, lafa		merièt	መሬት	merrèt, mendrì		terre	ard, trâb, barr
terreno	bijò		meder	ምድር	mudr, merèt		terrain	hakl, turâb - säs
tessitore	semanò		scemanyè	ሸማኔ	scemanyè		tisseur	cazzas, hayyâk
tessitura	arbì		scemmà	ሸማ	alemè		tissage	gomâsc, nasg, mälf
testa	matà		ras 	ራስ	reesy		tête	ras, râs
testimonio	namahimù		messecher	መመስከር	mesecchèr		témoin	sciâhed
tiepido	bova		harùr	ሃሩር	harùr		tiède	fâtir
tifo	bûsa		yehedar bescetà	የህዳር በሽታ	mendèf		typhus	homma wabayî
toga	sciamma, wajà		sciammà	ሸማ	cutà, gianò		toge	quftân
topo	antuta		ait	አይጥ	ancciuà		rat	fâr, ffêr
torcia	sciugh		cebbò	ችቦ	fanà, sciqh		cierge, torche	masciaâl - mashal
tornare	dèbisu		temellesè	ተመለስ	temelsè		revenir	sel, khor, uadi
tosse	ukkè, cufa		sal	ሳል	sal		toux	soâl, kohhâ - kahhâhha
traccia	fana		cot, duccà	ኮቴ፣ ዱካ	aser		trace	âtar, alâma - zurra
tradire	gànu		cheddà	ከዳ	chedèe, ttelemè		trahir	khan, kadaâ
traditore	gana		chedategnà	ከዳተኛ	cahadì		traître	khâin, khêin
tradizione	raggì		zennà	ልማድ	zantà		tradition	taklid
tradurre	semabalu		ghelebbettè	ማሰተርጎም	terguemè		traduire	târgiam - tärzem
tramonto	mirab, dibbìma		ghebat	ገባት	arabat		le coucher	rhorûbel-sciams - muhrub
tranquillo	iè nagumà		zeghetègna	ዝምተኛ	edù, hedùe		tranquille	mostarih
trasporto	fuciù		masellèf	መጓጓዣ	wesèd		transport	murûr
trattoria	mana gnacciù		ie mescetàbiet	ትንሽ መሸታ ቤት	bet belha		restaurant	lucânda 
trave	guldàcia		seragallà	ሰረገላ	ghemèl		poutre	nakda, ssùhîye
traversare	cêsisu		zelleqè	ዘለቀ	halefè		traverser	âabar
tre	sadì		suost	ሶስት	selest		trois	talata - tlêtä
trecento	dibsadì		sost metò	ሶስት መቶ	selest mèety		trois cents	toltomîa, tultumîya -tiltmîä
tregua	aràrsitu		ttenttanè	ማቆም	seqlètt		trève	raha, salâma, ssolh
tremare	olaciù		ancatachetè	ተነቀጠቀጠ	tenqqetteqqetè		trembler	artâgiaf, araâsc
tribù	gosa		hezb	ህዝብ	aliet		tribu	gbilä, gebilä
tributo	busi		ghebr	ግብር	ghebrì, edà		tribut	miri, tolba
trionfare	moaciù		ascennefè	አሸነፈ	sennetè, searè		triompher	entâsar ala, intâssar
tromba	malakàta		melechèt, trumba	መለከት	melekhèt		trompette	buk, nafir
troncare	iaccaciù		qquerettè	ቁረጥ	qqueretsè		tronquer	qattaâ, qassar
tronco	damè		ghend		gundì		tronc	tard, zitta, sannôra
troppo	danu, bajalè		embezzà	አባዛ	amennà, mehir		trop	jäser, bizzäid, dâ kitîr, bezayd
trotto	suksuku		denghelassà	ጉሮሮ	retretà		trot	ribâha, khêtua lâbek
trovare	argaciù		aghegnè	አገኘ	rekhebè		trouver	laqa, wagiad
truppa	serawit		serawit	ሰራዊት	serawit		troupe	gesc, giamaâ, asâkir nizâm
tu, (femminile)	ati		ancì	አንቺ	nessescy		tu	enti
tu, (maschile)	ata		antè	አንተ	nessekhà		tu	enta
tua (femm.)	keti		iancì	ያንቺ	natky		ta	lak, lek, ak, äk,k (suff.)
tuo (masch.)	keti		iantè	ያንተ	natkà		ton	lak, lek, ak, äk,k (suff.)
tuono	bacàca, kakawè		neguedguad	ነጎድጓድ	neguedà		tonnerre	rad, rahd, raâd
tutto	hunda		hullù	ሁሉ	cullù		tout	cul, kull, okkul
ubbriacone	maccèsu		bezù sekkàr	ብዙ ስካር	wetrù sekkùr		soûlard	tamêlli sacrân
uccello	allatti		uef	ኡፍ	ccerù, of		oiseau	ter, asfûr
udire	dagau		semmà	ሰማ	semeé		ouïr	samaâ, simih - smah
ufficiale	goftà		scium, mezezò	ሹም፣ መዘዞ	mekhuenèn		officier	dâbet, zâbit, ramsî - fisjân
ugola	wenna		gurorò	ጉሮሮ	guerero		tuette	nahr
uguale	olkittè		tekekkèl	ትክክል	tekhekkel		égal	tassuîa, lûss - sûa sûa
ulivo	egèrsa		awlià	ወይራ	weirà		olivier	zatûna - zitûn, zetun
ultimo	bodà		metcerescià	መጨረሻ	meccerrescià		dernier	âkher
umido	cabanà, gidà		ertèb	እርጥብ	reud, ewùl		humide	ratib, nadîi, ritib
un	tokko		and	አንድ	hadè, encò		un	waid, wahhid, wâhhed
una	tokka		and	አንድ	hanti		une	wâde, wâhhdä, wahedä
unghia	kiensa		tefer	ጠፈር	tsefrì		ongle	defr, dhufr, dufor
universo	kolki hundùma		alèm	አለም	alèm		univers	aalêm, âlam, dunia - dunjä
uomini	namni		seocc	ሰዎች	sebàt		hommes	rigal, ensanun - razäl
uomo	nama 		sau, wend	ሰው፣ ወንድ	seb, seb-ai		homme  	râgel, ensân - razel
uovo	ankàko		enqqulal	እንቁላል	enquaqquhò		oeuf	beda, bed - dahhjä
usanza	barù		lemàd	ልማድ	leumàd		coutume	âada, esteêmal
uscio	balbalà		deg	ደግ	afatièt, maetsò		porte	bad, bäb
uscire	bàu, basu		wettà	ወጣ	wetsè		sortir	harrag min, talaâ, tlah, khârag
utile	horè		yemmirebà	የማይረባ	tteqhamì		utile	nâfi, nafê, mofid, nêfäh
uva	gumawaini		zebib	ዘቢብ	weinì, zebib		raisin	enâba, hinaba, eênnab
vacca	saa, amèsi		lam	ላም	lam		vache	bâgara - bugra
vaiuolo	finnò		cuffegn	ኩፍኝ	bededò		variole	gedri - zidri
valigia	mescia		karattyt	ከረጢት	kerettyt		valise	hachîba, santa
valle	ladù, gammàgi		qquellà	ቆላ	guelguel		vallée	uâti sâhla - uady
valoroso	giagna, giaghnà		lebbè-tenkarrà	ልበ-ጠንካራ	gheghenà		vaillant	sciagâa, giasûr, bâsel
vaso	buiti		mekfeia	የአበባ ማስቀመጫ	gueibì		vase	anâ, câdûs
vassoio	cori		wett 	ወጥ	sciahàn		cabaret	sanîya - thag, sunîjä
vecchio	dullòmtu		aroghiè	አሮጊት	areghit		vieux	scekh, âgiùz - sebêni
